n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,n_layers,NRMSE_mean,NRMSE_std
4,0.2,1.2,0.1,0.05,1,,,200,1,0.3701993525028229,0.0
4,0.2,1.2,0.1,0.05,1,,,200,1,0.3701993525028229,0.0
4,0.2,1.2,0.1,0.05,1,,,200,1,7113.3740234375,0.0
4,0.2,1.2,0.1,0.05,1,,,200,1,7113.3740234375,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,4.823637008666992,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,inf,
256,0.2,1.2,0.1,0.05,1,,,200,1,242631824.0,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,242631824.0,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,112.97662353515624,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,2.3054089546203613,0.0
256,0.2,1.2,0.1,0.05,1,,,200,1,242631824.0,0.0
256,0.2,1.2,0.001,0.05,1,,,200,1,10.773277282714844,0.0
256,0.2,0.9,0.001,0.05,1,,,200,1,852227476422656.0,0.0
256,0.2,1.2,0.001,0.05,1,,,200,1,10.773277282714844,0.0
256,0.2,2.0,0.001,0.05,1,,,200,1,10.912428855895996,0.0
256,0.2,1.2,0.001,0.05,1,,,200,1,10.773277282714844,0.0
512,0.2,1.2,0.001,0.05,1,,,200,1,10.561253547668455,0.0
4,0.2,1.2,0.001,0.05,1,,,200,1,10.252843856811523,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,5300304384.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,35.142433166503906,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4604885504.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4604885504.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4604885504.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4604885504.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,37.68797302246094,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,4571325952.0,0.0
4,0.2,1.1,0.1,0.05,1,,,200,1,160669856.0,0.0
256,0.2,1.1,0.1,0.05,1,,,200,1,105585232.0,0.0
4,0.01,1.1,0.1,0.05,1,,,200,1,18608314908672.0,0.0
4,0.2,0.9,0.1,0.05,1,,,200,1,60819.6328125,0.0
4,0.2,0.5,0.1,0.05,1,,,200,1,3692.434814453125,0.0
4,0.2,0.9,0.4,0.05,1,,,200,1,19490.0703125,0.0
4,0.2,0.9,0.9,0.05,1,,,200,1,14.611078262329102,0.0
4,0.2,0.9,0.1,0.5,1,,,200,1,60751.1484375,0.0
4,0.2,0.9,0.1,0.9,1,,,200,1,60690.44921875,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,60811.99609375,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,60811.99609375,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.2646378874778747,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.2646378874778747,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.7310339212417603,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.5491465330123901,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,13139316736.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,0.759517252445221,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575475573539734,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575391530990601,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575391530990601,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575243711471558,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.7575606107711792,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,661341376.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,13139319808.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,13139319808.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,13139319808.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,13139319808.0,0.0
4,0.2,0.9,0.1,0.1,1,,,200,1,4.448628902435303,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.208845853805542,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.208845853805542,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.208845853805542,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.208845853805542,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.483529567718506,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.76654052734375,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.76654052734375,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.249520778656006,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.249520778656006,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.249520778656006,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,2.249520778656006,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5934643745422363,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5934643745422363,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5934643745422363,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5934643745422363,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5934643745422363,0.0
256,0.2,0.9,0.1,0.1,1,,,200,1,0.5278315544128418,0.0
256,0.2,1.0,0.1,0.1,1,,,200,1,0.5294652581214905,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.509950578212738,0.0
256,0.2,1.0,0.8,0.1,1,,,200,1,0.5577539801597595,0.0
256,0.2,1.0,1.0,0.1,1,,,200,1,0.5756451487541199,0.0
256,0.2,1.0,0.7,0.1,1,,,200,1,0.5396468043327332,0.0
256,0.2,1.0,0.6,0.1,1,,,200,1,0.5203282237052917,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.509950578212738,0.0
256,0.2,1.0,0.4,0.1,1,,,200,1,0.5126541256904602,0.0
256,0.2,1.0,0.3,0.1,1,,,200,1,0.5311701893806458,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.509950578212738,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
256,0.2,1.0,0.5,0.1,1,,,200,1,0.6314730644226074,0.0
4,0.1,0.8,0.01,0.0001,1,,,200,1,8.492002487182617,0.0
4,0.2,0.8,0.01,0.0001,1,,,200,1,14.108238220214844,0.0
4,0.3,0.8,0.01,0.0001,1,,,200,1,7.950530052185059,0.0
4,0.4,0.8,0.01,0.0001,1,,,200,1,1.9747828245162964,0.0
4,0.5,0.8,0.01,0.0001,1,,,200,1,1.4639737606048584,0.0
4,0.6,0.8,0.01,0.0001,1,,,200,1,1.2784465551376345,0.0
4,0.7,0.8,0.01,0.0001,1,,,200,1,1.2057390213012695,0.0
4,0.8,0.8,0.01,0.0001,1,,,200,1,1.2745252847671509,0.0
4,0.9,0.8,0.01,0.0001,1,,,200,1,3.9173123836517334,0.0
4,1.0,0.8,0.01,0.0001,1,,,200,1,4.1237921714782715,0.0
8,0.1,0.8,0.01,0.0001,1,,,200,1,3.573768615722656,0.0
8,0.2,0.8,0.01,0.0001,1,,,200,1,3.2766523361206055,0.0
8,0.3,0.8,0.01,0.0001,1,,,200,1,5.900043964385986,0.0
8,0.4,0.8,0.01,0.0001,1,,,200,1,3.854764461517334,0.0
8,0.5,0.8,0.01,0.0001,1,,,200,1,4.044216156005859,0.0
8,0.6,0.8,0.01,0.0001,1,,,200,1,5.8895158767700195,0.0
8,0.7,0.8,0.01,0.0001,1,,,200,1,4.9860382080078125,0.0
8,0.8,0.8,0.01,0.0001,1,,,200,1,4.312810897827148,0.0
8,0.9,0.8,0.01,0.0001,1,,,200,1,3.8004918098449703,0.0
8,1.0,0.8,0.01,0.0001,1,,,200,1,3.4010040760040283,0.0
16,0.1,0.8,0.01,0.0001,1,,,200,1,128.2635040283203,0.0
16,0.2,0.8,0.01,0.0001,1,,,200,1,21.54974365234375,0.0
16,0.3,0.8,0.01,0.0001,1,,,200,1,12.247515678405762,0.0
16,0.4,0.8,0.01,0.0001,1,,,200,1,4.446943759918213,0.0
16,0.5,0.8,0.01,0.0001,1,,,200,1,4.713644027709961,0.0
16,0.6,0.8,0.01,0.0001,1,,,200,1,7.558189868927002,0.0
16,0.7,0.8,0.01,0.0001,1,,,200,1,5.670742034912109,0.0
16,0.8,0.8,0.01,0.0001,1,,,200,1,5.6521897315979,0.0
16,0.9,0.8,0.01,0.0001,1,,,200,1,6.545637130737305,0.0
16,1.0,0.8,0.01,0.0001,1,,,200,1,3.793948173522949,0.0
32,0.1,0.8,0.01,0.0001,1,,,200,1,308.453125,0.0
32,0.2,0.8,0.01,0.0001,1,,,200,1,25.92223358154297,0.0
32,0.3,0.8,0.01,0.0001,1,,,200,1,15.98487949371338,0.0
32,0.4,0.8,0.01,0.0001,1,,,200,1,5.85822868347168,0.0
32,0.5,0.8,0.01,0.0001,1,,,200,1,12.119173049926758,0.0
32,0.6,0.8,0.01,0.0001,1,,,200,1,12.471697807312012,0.0
32,0.7,0.8,0.01,0.0001,1,,,200,1,12.005480766296388,0.0
32,0.8,0.8,0.01,0.0001,1,,,200,1,3.797149658203125,0.0
32,0.9,0.8,0.01,0.0001,1,,,200,1,6.273526668548584,0.0
32,1.0,0.8,0.01,0.0001,1,,,200,1,6.7666096687316895,0.0
64,0.1,0.8,0.01,0.0001,1,,,200,1,122.18827056884766,0.0
64,0.2,0.8,0.01,0.0001,1,,,200,1,50.63901901245117,0.0
64,0.3,0.8,0.01,0.0001,1,,,200,1,31.4860782623291,0.0
64,0.4,0.8,0.01,0.0001,1,,,200,1,26.159982681274418,0.0
64,0.5,0.8,0.01,0.0001,1,,,200,1,11.916135787963867,0.0
64,0.6,0.8,0.01,0.0001,1,,,200,1,12.825501441955566,0.0
64,0.7,0.8,0.01,0.0001,1,,,200,1,9.56508731842041,0.0
64,0.8,0.8,0.01,0.0001,1,,,200,1,11.8899564743042,0.0
64,0.9,0.8,0.01,0.0001,1,,,200,1,12.963922500610352,0.0
64,1.0,0.8,0.01,0.0001,1,,,200,1,8.201308250427246,0.0
100,0.1,0.8,0.01,0.0001,1,,,200,1,92.0000228881836,0.0
100,0.2,0.8,0.01,0.0001,1,,,200,1,34.991539001464844,0.0
100,0.3,0.8,0.01,0.0001,1,,,200,1,28.083139419555664,0.0
100,0.4,0.8,0.01,0.0001,1,,,200,1,20.367013931274418,0.0
100,0.5,0.8,0.01,0.0001,1,,,200,1,21.518218994140625,0.0
100,0.6,0.8,0.01,0.0001,1,,,200,1,18.733728408813477,0.0
100,0.7,0.8,0.01,0.0001,1,,,200,1,9.67888355255127,0.0
100,0.8,0.8,0.01,0.0001,1,,,200,1,15.44632625579834,0.0
100,0.9,0.8,0.01,0.0001,1,,,200,1,10.697064399719238,0.0
100,1.0,0.8,0.01,0.0001,1,,,200,1,15.93879508972168,0.0
128,0.1,0.8,0.01,0.0001,1,,,200,1,268.0863342285156,0.0
128,0.2,0.8,0.01,0.0001,1,,,200,1,94.86741638183594,0.0
128,0.3,0.8,0.01,0.0001,1,,,200,1,32.6727409362793,0.0
128,0.4,0.8,0.01,0.0001,1,,,200,1,24.154115676879883,0.0
128,0.5,0.8,0.01,0.0001,1,,,200,1,17.25066566467285,0.0
128,0.6,0.8,0.01,0.0001,1,,,200,1,14.380293846130373,0.0
128,0.7,0.8,0.01,0.0001,1,,,200,1,6.113128185272217,0.0
128,0.8,0.8,0.01,0.0001,1,,,200,1,15.597322463989258,0.0
128,0.9,0.8,0.01,0.0001,1,,,200,1,12.293336868286133,0.0
128,1.0,0.8,0.01,0.0001,1,,,200,1,15.995543479919434,0.0
150,0.1,0.8,0.01,0.0001,1,,,200,1,45.389739990234375,0.0
150,0.2,0.8,0.01,0.0001,1,,,200,1,49.18809509277344,0.0
150,0.3,0.8,0.01,0.0001,1,,,200,1,29.898845672607425,0.0
150,0.4,0.8,0.01,0.0001,1,,,200,1,36.75079727172851,0.0
150,0.5,0.8,0.01,0.0001,1,,,200,1,43.87717056274414,0.0
150,0.6,0.8,0.01,0.0001,1,,,200,1,16.12344741821289,0.0
150,0.7,0.8,0.01,0.0001,1,,,200,1,32.092288970947266,0.0
150,0.8,0.8,0.01,0.0001,1,,,200,1,17.469160079956055,0.0
150,0.9,0.8,0.01,0.0001,1,,,200,1,17.106321334838867,0.0
150,1.0,0.8,0.01,0.0001,1,,,200,1,11.820867538452148,0.0
200,0.1,0.8,0.01,0.0001,1,,,200,1,261.8720703125,0.0
200,0.2,0.8,0.01,0.0001,1,,,200,1,57.95301055908203,0.0
200,0.3,0.8,0.01,0.0001,1,,,200,1,15.55951976776123,0.0
200,0.4,0.8,0.01,0.0001,1,,,200,1,6.0429558753967285,0.0
200,0.5,0.8,0.01,0.0001,1,,,200,1,20.960357666015625,0.0
200,0.6,0.8,0.01,0.0001,1,,,200,1,18.2844295501709,0.0
200,0.7,0.8,0.01,0.0001,1,,,200,1,12.963647842407228,0.0
200,0.8,0.8,0.01,0.0001,1,,,200,1,10.754737854003906,0.0
200,0.9,0.8,0.01,0.0001,1,,,200,1,11.207490921020508,0.0
200,1.0,0.8,0.01,0.0001,1,,,200,1,9.680497169494627,0.0
256,0.1,0.8,0.01,0.0001,1,,,200,1,205.12429809570312,0.0
256,0.2,0.8,0.01,0.0001,1,,,200,1,39.378421783447266,0.0
256,0.3,0.8,0.01,0.0001,1,,,200,1,19.589576721191406,0.0
256,0.4,0.8,0.01,0.0001,1,,,200,1,30.067527770996097,0.0
256,0.5,0.8,0.01,0.0001,1,,,200,1,22.403846740722656,0.0
256,0.6,0.8,0.01,0.0001,1,,,200,1,26.751678466796875,0.0
256,0.7,0.8,0.01,0.0001,1,,,200,1,12.598968505859377,0.0
