,t,x,y,z
0,0.0,0.5,4.95,-7.786666666666667
1,0.01,0.9450000000000001,5.079433333333333,-7.554272222222223
2,0.02,1.3584433333333334,5.3646268725,-7.3048243179629635
3,0.03,1.75906168725,5.790576636067414,-7.0371535867096
4,0.04,2.162213182131741,6.348996014753487,-6.747636342654766
5,0.05,2.5808914653939157,7.036824028086033,-6.430420544753287
6,0.06,3.0264847216631274,7.855067573143944,-6.077329872784205
7,0.07,3.5093430068112093,8.807862079563064,-5.677535322865777
8,0.08,4.039194914086394,9.901643689486798,-5.217036288983967
9,0.09,4.625439791626435,11.144328092986802,-4.67796863296102
10,0.1,5.2773286217624715,12.544384576301118,-4.0377486166263115
11,0.11,6.004034217216336,14.109678008051638,-3.2680669225138472
12,0.12,6.8145985962998665,15.845926665060956,-2.3337685757043425
13,0.13,7.717731403175976,17.754591965975145,-1.1916984509309432
14,0.14,8.721417459455893,19.829982924783327,0.21033189409103792
15,0.15,9.832274005988635,22.055336061649083,1.9341786365911189
16,0.16,11.05458021155468,24.397645679394476,4.0511416141383165
17,0.17,12.388886758338659,26.80111498261725,6.640168482454195
18,0.18,13.830109580766518,29.179349171271756,9.78345710809067
19,0.19,15.365033539817041,31.406923523337433,13.558100883882956
20,0.2,16.96922253816908,33.311856931081984,18.022235860164894
21,0.21,18.603485977460373,34.67188736299342,23.194406038125635
22,0.22,20.21032611601368,35.219176488194464,29.026068247470953
23,0.23,21.71121115323176,34.659612984325776,35.369950184510245
24,0.24,23.00605133634116,32.7129114080355,41.951773272843205
25,0.25,23.976737343510592,29.176030172474913,48.35900851104517
26,0.26,24.496666626407023,24.002843874313896,54.06489507246834
27,0.27,24.44728435119771,17.377784983145396,58.50306118195015
28,0.28,23.74033441439248,9.746837030342782,61.19137605920077
29,0.29,22.34098467598751,1.7696249868464866,61.873537736784634
30,0.3,20.283848707073407,-5.81575313801188,60.6189283776042
31,0.31,17.673888522564877,-12.37396968861363,57.82276505317688
32,0.32,14.669102701447025,-17.521072241572412,54.093863043177286
33,0.33,11.450085207145083,-21.173597087735295,50.08117594718158
34,0.34,8.187716977657045,-23.49017457754986,46.32128301396012
35,0.35000000000000003,5.019927822136355,-24.755367631632968,43.16273978828719
36,0.36,2.042398276759422,-25.268972548547005,40.769031806720385
37,0.37,-0.6887388057712207,-25.277077308640855,39.1657645653215
38,0.38,-3.1475726560581845,-24.947403582032024,38.29543721730233
39,0.39,-5.327555748655568,-24.373873179538258,38.059463211718786
40,0.4,-7.2321874917438365,-23.59421093712306,38.343075874486125
41,0.41000000000000003,-8.868389836281759,-22.610238188095668,39.02697142333677
42,0.42,-10.24257467146315,-21.40622099325782,39.991416250813295
43,0.43,-11.358939303642616,-19.96392901966972,41.117526653697794
44,0.44,-12.219438275245327,-18.27427783874035,42.28874985623243
